,0,1,2,3,4
0,0,"['Say , Jim , how about going for a few beers after dinner ? '
 ' You know that is tempting but is really not good for our fitness . '
 ' What do you mean ? It will help us to relax . '
 "" Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ""
 "" I guess you are right.But what shall we do ? I don't feel like sitting at home . ""
 ' I suggest a walk over to the gym where we can play singsong and meet some of our friends . '
 "" That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ""
 ' Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . '
 "" Good.Let ' s go now . "" ' All right . ']","['بگو، جیم، چطوره بعد از شام چند تا بیر بریم؟'

'یعنی چی؟ این کمک می‌کنه ما رو شاداب کنه.'

'فکر می‌کنم درست می‌گی. ولی چی کار کنیم؟ من نمی‌خوام خونه بنشینم.'

'ایده‌ی خوبیه. شنیدم مری و سالی اغلب به اونجا می‌رن برای بازی پینگ‌پنگ. شاید بتونیم باهاشون یه چهارنفره بشیم.'

'خوبه. بزار بریم الان.'

","'می‌دونی که جذابه ولی واقعا برای تناسب انداممون خوب نیست.'

'واقعا اینطور فکر می‌کنی؟ من نه. فقط ما رو چاق و احمق می‌کنه. به یاد داری آخرین بار؟'

'پیشنهاد می‌کنم بریم یه پیاده‌روی به سمت باشگاه که می‌تونیم آواز بخونیم و بعضی از دوستامون رو ببینیم.'

'به نظر من عالیه! اگه موافق باشن، می‌تونیم ازشون بخوایم با ما برن برقصیم. این تمرین عالیه و هم خیلی سرگرم‌کننده.'

'خوبه.']

","چه کسی این را میگوید؟]
[بگو، جیم، چطوره بعد از شام چند تا بیر بریم؟] این ج

این جمله یا این دو جمله چه چیزی رو بیان می‌کنند؟ این جمله یا این دو جمله

به چه کسی می‌گوید؟ چه می‌خواهد کمک کند؟

این جمله به یک فردی مربوط می‌شود

این جمله رو به فارسی میلیون‌ها نفر می‌گن؟ چطور می‌تونم این جمله رو به فارسی میلی

چه می‌شود از این جمله؟
""خوبه. بزار بریم الان."" این جمله به زبان فارسی است و به معنای ""خوب

"
1,1,"['Can you do push-ups ? '
 "" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ""
 "" Really ? I think that's impossible ! "" ' You mean 30 push-ups ? '
 ' Yeah ! '
 "" It's easy . If you do exercise everyday , you can make it , too . ""]","""آیا می‌توانید پوش‌آپ انجام دهید؟""

""واقعا؟ فکر می‌کنم این غیرممکن است!""

""آره!""

","""البته می‌توانم. این کار برای من خیلی آسان است! باورش یا نکردن، من می‌توانم در هر دقیقه ۳۰ پوش‌آپ انجام دهم.""

""شما منظورتان ۳۰ پوش‌آپ هستید؟""

""این آسان است. اگر هر روز ورزش کنید، شما هم می‌توانید انجام دهید.""

","کسی که این پرسش را می‌کند، چه کسی است؟
سوال اولیه این است که اگر کسی پوش‌آپ (

چرا این جمله را گفته‌ام؟

جمله  به معنای این است که

جواب داد، ""خوب، اما من چه کنم؟"" 

""خوب، اما من چه کنم؟"" چه کسی این را می‌پرسد

"
2,2,"['Can you study with the radio on ? '
 ' No , I listen to background music . ' ' What is the difference ? '
 ' The radio has too many comerials . '
 "" That's true , but then you have to buy a record player . ""]","می‌توانی با رادیو درس بخوانی؟

چه تفاوتی دارد؟

درست است، اما باید یک پخش‌کننده رکورد بخری.

","نه، من به موسیقی پس‌زمینه گوش می‌دهم.

رادیو حاوی خیلی تبلیغات است.

","بله، می‌توانی با استفاده از رادیو درس بخوانی. این روش به خصوص برای افرادی که زمان زیادی ر

مثلاً کریم و کریم چهارم و چهارم جدید و چهارم چهارم و چهارم چهارم و

این یک سوپر هاوس است، اما این موزیک ها از چه زمانی هستند؟ این موزیک ها از چه ز

"
3,3,"['Are you all right ? '
 ' I will be all right soon . I was terrified when I watched them fall from the wire . '
 "" Don't worry.He is an acrobat 。 "" ' I see . ']","""آیا همه چیز خوب است؟""

""نگران نباشید. او یک اکروبات است.""

","""من به زودی خوب خواهم شد. وقتی آنها را از سیم می‌افتادم، وحشت زده شدم.""

""من می‌بینم.""

","چه چیزی را به معنی سؤال می‌کند؟
سؤال  به معنی سؤالی است ک

جمله زیب بهتر چه چیزی است؟
 جمله زیب بهتر چه

"
4,4,"['Hey John , nice skates . Are they new ? '
 ' Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . '
 ' What position do you play ? '
 ' I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . '
 ' Yeah , you ’ re a pretty big guy . I play goalie , myself . '
 ' Oh , yeah ? Which team ? ' ' The Rockets . '
 ' Really ? I think we play you guys next week . Well , I have to go to practice . See you later . '
 ' All right , see you later . ']","'سلام جان، اسکیت خوبی داری. آیا تازه هستند؟'

'چه پستی بازی می‌کنی؟'

'آره، تو یک پسر بزرگی هستی. خودم دروازه بان بازی می‌کنم.'

'واقعا؟ فکر می‌کنم هفته آینده با شما بازی می‌کنیم. خب، باید برم به تمرین. بعدا می‌بینمت.'

","'بله، همین الان آنها را گرفتم. من شروع به بازی هاکی روی یخ در یک لیگ جامعه کردم. بنابراین، بالاخره خودم اسکیت های جدید گرفتم.'

'من دفاع کننده هستم. خیلی خوبه. برای دفاع نیازی به اسکیت کردن سریع نیست.'

'آه، آره؟ کدام تیم؟' 'راکتز.'

'خوب، بعدا می‌بینمت.'

","این جمله را ترجمه کن. این جمله را ترجمه کن. این جمله را ترجمه کن. این جمله را ترجمه ک

چهار بار به این سوال پاسخ دهید، هر پاسخ را با یک نمونه پیشنهاد از کاربر برای ادامه یاف

چه می‌توانم به این جمله اضافه کنم؟
اول اول به جمله نگاه کن: «آره، تو یک پسر بزرگی

this is a conversation between two people, and the user is asking for the translation of the persian text into english. the user also wants to know the context of the conversation. 

first, i need to translate the persian text accurately. let me

"
5,5,"['Hey Lydia , what are you reading ? '
 ' I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! '
 ' What are you talking about ? Let me see that ... What are horoscopes ? '
 ' It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? '
 ' January 5th . '
 ' Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! '
 "" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ""
 ' No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . '
 ' Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? '
 ' A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ']","""سلام لیدیا، چه کتابی می‌خوانی؟""

""درباره چی حرف می‌زنی؟ اجازه بده ببینم... ستاره‌شناسی چیست؟""

""5 ژانویه.""

""این کلاهبرداری است. من هیچ استرسی در محل کار نمی‌بینم و زندگی عاشقانه‌ام

","""من دارم به ستاره‌شناسی ماهیانه‌ام نگاه می‌کنم! پیش‌بینی‌ها بسیار مثبت است. می‌گوید باید مرخصی به جایی خارجی بگیرم و تابستانی پرشور خواهم داشت!""

""این یک پیش‌بینی از ماه شماست، بر اساس نشانه ستاره‌ای شما. برای هر ماه و تاریخ تولدتان نشانه‌ای متفاوت دارید. من در تاریخ 15 آوریل متولد شدم، بنابراین من قوس هستم. تو کی متولد شدی؟""

""بیا ببینیم... تو یک جدی‌گرا هستی. می‌گوید که احساس استرس در محل کار خواهید کرد، اما ممکن است توسعه‌های جدید و جذابی در زندگی عاطفی‌تان ببینید. به نظر می‌رسد که هر دوی ما تابستانی جالب خواهیم داشت!""

","چه می‌گویی؟

""سلام، ممنون. من الان کتاب ""خانه یاد"" رو می‌خونم. این کتاب درباره یادگ

چند فرد در یک کافه نشسته بودند و به یک جنگل غریب نگریسته بودند. چه چیزی

(1)
 (1)
 (1)
 (1)
 (1

را ادامه می‌دهم."" چه کسی این را گفت؟
این جمله ""این کلاهبرداری است. من هیچ استرسی در

"
6,6,"['Frank ’ s getting married , do you believe this ? ' ' Is he really ? '
 ' Yes , he is . He loves the girl very much . ' ' Who is he marring ? '
 ' A girl he met on holiday in Spain , I think . '
 ' Have they set a date for the wedding ? ' ' Not yet . ']","""فرانک داره ازدواج می‌کنه، باورت میشه؟"" ""واقعا؟"" ""بله، اون دختر رو خیلی دوست داره."" ""با چه کسی ازدواج می‌کنه؟"" ""یه دختری که توی تعطیلات در اسپانیا آشنا شده، فکر می‌کنم."" ""آیا تاریخ ازدواج رو تعیین کردن؟"" ""هنوز نه.""

",nan,"""اون دختر چه کاری می‌کنه؟"" ""فکر می‌کنم اون یه معلم دبستانی باشه."" ""آیا فرانک و

"
7,7,"['I hear you bought a new house in the northern suburbs . '
 ' That ’ s right , we bought it the same day we came on the market . '
 ' What kind of house is it ? ' ' It ’ s a wonderful Spanish style . '
 ' Oh , I love the roof tiles on Spanish style houses . '
 ' And it ’ s a bargaining . A house like this in river side costs double the price . '
 ' Great , is it a two bedroom house ? '
 ' No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . '
 ' That ’ s a nice area too . It ’ ll be a good investment for you . '
 ' Yeas , when will you buy a house ? '
 ' Not untill the end of this year , you know , just before my wedding . '
 ' Right , congratulations . ' ' Thank you . ']","من شنیدم که یک خانه جدید در حومه شمالی خریده‌ای.

چه نوع خانه‌ای است؟

اوه، من عاشق کاشی‌های سقف خانه‌های اسپانیایی هستم.

عالیه، آیا یک خانه دو خوابه است؟

این هم منطقه خوبی است. برای شما سرمایه‌گذاری خوبی خواهد بود.

تا پایان امسال نه، می‌دانید، فقط قبل از عروسی من.

متشکرم.

","درسته، ما همان روزی که به بازار آمدیم آن را خریدیم.

یک خانه بسیار زیبا به سبک اسپانیایی است.

و این یک معامله است. یک خانه مانند این در کنار رودخانه دو برابر قیمت دارد.

نه، سه اتاق خواب و سه تخت دارد، و یک اتاق نشیمن با سقف دوازده فوتی. یک گاراژ دو ماشینه هم دارد.

بله، شما کی یک خانه خریداری خواهید کرد؟

درسته، تبریک می‌گویم.

","چه جور خانه بود؟
در جواب به این سوال، از چند نفر از افرادی که این خانه را خریده‌اند

خانه‌های ساخته شده با این سیستم از چند لایه از پلیمرهای شیمیایی و مصالح مهندسی

چه کاری می‌توانم انجام دهم تا خانه‌ام را با این کاشی‌ها تزیین کنم؟

فکر می‌کنم

در اینجا چند نکته درباره خانه دو خوابه وجود دارد:

1. خانه دو خوابه به مساحت کمی دارد. معمولاً

چرا که این منطقه دارای زیرساخت‌های پیشرفته و دسترسی به امکانات مختلف است. این منطقه برای اقامت، ت

این جمله را به فارسی ترجمه کنید؟
ترجمه ای که به دنبالش هستید احتمالاً این است: ""i don't know,

اما من میخواهم این فایل را به صورت فشرده در این پوشه قرار دهم. بقیه فایل ها هم به همین صور

"
8,8,"[""Hi , Becky , what's up ? ""
 ' Not much , except that my mother-in-law is driving me up the wall . '
 "" What's the problem ? ""
 "" She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ""
 ' For example ? '
 "" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ""
 "" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ""
 "" It's not just that . She also criticizes how we raise the kids . ""
 "" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ""
 ' You said she used to ? How did you stop her ? '
 "" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ""
 "" That sounds like a good idea . I'll have to try that . ""]","""سلام، بکی، چه خبره؟""

""مشکل چیه؟""

""برای مثال؟""

""نه، من نمی‌تونم این اتفاق رو ببینم. می‌دونم تو آشپز خوبی و هیچ وقت چنین چیزی اتفاق نمی‌افته.""

""مادر شوهرم همیشه همین کارو به ما می‌کرد. اگر

","""چیز زیادی نیست، فقط مادر شوهرم داره منو دیوار می‌کشونه.""

""اون دوست داره هر چیز رو کوچیک کنه و هر چیزی که من انجام می‌دم رو انتقاد می‌کنه. وقتی اون اطرافه من هیچ کاری درست انجام نمی‌دم.""

""خب، هفته پیش اون رو برای شام دعوت کردم. شوهرم و من مشکلی با غذا نداشتیم، اما اگر به اون گوش می‌دادی، به نظر می‌رسیده که گوشت قدیمی و سبزیجات خراب بهش دادم. هیچ چیزی نمی‌تونه اونو خوشحال کنه.""

""مسئله فقط این نیست. اون همچنین انتقاد می‌کنه که چطور بچه‌ها رو بزرگ می‌کنیم.""

","نامه ای از یک دوست چند سال قبل به من داد. من به نامه را گم نگه داشتیم و اکنون وقت آن

is an expression used in arabic-speaking countries to ask someone what's wrong with them. it can be used in a variety of situations, from asking about a physical ailment to a more metaphorical sense, such as when someone is feeling down or stressed

ترجمه به فارسی میخوام. ""for example?"" ترجمه به فارسی میخوام. ""for example?"" ترجمه به فارسی میخوام.

چه می‌گه این جمله؟
این جمله به این معناست که گوهر به چیزی یا اتفاقی که چند

به دمای فر چه می‌کرد؟"" مادر شوهرم از فر که چه می‌کرد؟

the question is a bit unclear, but i'll try to

"
9,9,"[""How are Zina's new programmers working out ? ""
 "" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ""
 "" So you'll make the Stars.com deadline , and have us up and running next week ? ""
 "" It'll be close , but we'll make it . ""
 "" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ""
 "" And if we don't need them , we won't need Zina , either . ""]","""چطور برنامه نویسان جدید زینا عمل می کنند؟""

""پس شما مهلت ستاره ها.کام را رعایت خواهید کرد و ما را در هفته آینده راه اندازی خواهید کرد؟""

""خوب. بعد از اینکه ستاره ها.کام شروع به پرداخت به ما کنند، دیگر نیازی به پول ویکام نداریم.""

","""متاسفم اما باید اعتراف کنم، آنها خوب هستند. و سریع. پسر فیلیپینی یک نابغه است.""

""نزدیک است، اما موفق خواهیم شد.""

""و اگر نیازی به آنها نداشته باشیم، دیگر نیازی به زینا هم نداریم.""

","این سوال خیلی جالب است. من خودم یک برنامه نویس هستم و می تونم به شما کمک کنم. اما قبل از

چطور می توان این جمله را به زبان انگلیسی ترجمه کرد؟
جمله ای که ارائه داده شده به نظر می‌

این جمله را به چند زبان مختلف ترجمه کن.

1. english: ""well. after the stars. start paying us, we no longer need the money from the company.""  
2. spanish:

"
