,0,1,2,3,4
0,0,"['Say , Jim , how about going for a few beers after dinner ? '
 ' You know that is tempting but is really not good for our fitness . '
 ' What do you mean ? It will help us to relax . '
 "" Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ""
 "" I guess you are right.But what shall we do ? I don't feel like sitting at home . ""
 ' I suggest a walk over to the gym where we can play singsong and meet some of our friends . '
 "" That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ""
 ' Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . '
 "" Good.Let ' s go now . "" ' All right . ']","['बोलो, जिम, डिनर के बाद कुछ बीयर्स पीने चलें?'

'तुम क्या मतलब कर रहे हो? यह हमें आराम करने में मदद करेगा।'

'मुझे लगता है कि आप सही हैं। लेकिन हम क्या करें? मुझे घर पर बैठने का मन नहीं है।'

'यह एक अच्छा विचार है। मुझे सुनने में आया है कि मे

","'तुम्हें पता है कि यह आकर्षक है लेकिन हमारी फिटनेस के लिए वास्तव में अच्छा नहीं है।'

'क्या आप सच में ऐसा सोचते हैं? मुझे नहीं। यह हमें मोटा और मूर्ख बनाएगा। पिछली बार याद है?'

'मैं सुझाव देता हूं कि हम जिम जाएं जहां हम सिंगसॉंग खेल सकते हैं और हमारे कुछ दोस्तों से मिल सकते हैं।'

","'हां, पर आज अगले दिन के लिए एक बार बोलो अपने साथियों क

अंतर्राष्ट्रीय विरोधाभास और भारत के विकास में विश्व ब

जब मैं अपनी बात कह रहा था तब मेरे दोस्य ने अपनी बात

रे बेटे के लिए एक नई शिक्षा नीति बनाई जा रही है। इस

"
1,1,"['Can you do push-ups ? '
 "" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ""
 "" Really ? I think that's impossible ! "" ' You mean 30 push-ups ? '
 ' Yeah ! '
 "" It's easy . If you do exercise everyday , you can make it , too . ""]","क्या आप पुश-अप्स कर सकते हैं?

""सच में? मुझे लगता है यह असंभव है!""

""हाँ!""

","""बिल्कुल कर सकता हूँ। यह तो बिल्कुल आसान है! मानो या न मानो, मैं मिनट में 30 पुश-अप्स कर सकता हूँ।""

""क्या आप 30 पुश-अप्स कह रहे हैं?""

""यह आसान है। अगर आप हर दिन व्यायाम करें, तो आप भी इसे कर सकते हैं।""

","आपके बारे में कुछ बताओ।
मैं एक कृत्रिम बुद्धिमत्ता म

अपने अनुवाद में, उन शब्दों के अनुवाद के लिए अंग्रेजी म

बोलते हुए वह अपने गले में गलती से एक विशाल बर्फ के टु

"
2,2,"['Can you study with the radio on ? '
 ' No , I listen to background music . ' ' What is the difference ? '
 ' The radio has too many comerials . '
 "" That's true , but then you have to buy a record player . ""]","क्या आप रेडियो चालू करके पढ़ाई कर सकते हैं?

अंतर क्या है?

यह सच है, लेकिन फिर आपको रिकॉर्ड प्लेयर खरीदना पड़ेगा।

","नहीं, मैं पिछली संगीत सुनता हूं।

रेडियो में बहुत सारे विज्ञापन होते हैं।

","क्या आप रेडियो में विज्ञान के विषय के बारे में सुन सकते ह

अंतर के कितने प्रकार होते हैं? अंतर के कुछ उदाहरण दीजिए।

इसके अलावा, आपको अपने प्लेयर के लिए एक बॉक्स खरीदन

"
3,3,"['Are you all right ? '
 ' I will be all right soon . I was terrified when I watched them fall from the wire . '
 "" Don't worry.He is an acrobat 。 "" ' I see . ']","क्या आप सभी ठीक हैं?

चिंता मत करो। वह एक एक्रोबेट है।

","मैं जल्द ही ठीक हो जाऊंगा। मैं उन्हें तार से गिरते देखकर डर गया था।

मैं समझता हूँ।

","क्या आप ठीक हैं? यह वास्तव में एक अच्छा प्रश्न है, जो

एक्रोबेट लोगों को एक रिंग में घूमते हुए बाहर निकलने �

"
4,4,"['Hey John , nice skates . Are they new ? '
 ' Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . '
 ' What position do you play ? '
 ' I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . '
 ' Yeah , you ’ re a pretty big guy . I play goalie , myself . '
 ' Oh , yeah ? Which team ? ' ' The Rockets . '
 ' Really ? I think we play you guys next week . Well , I have to go to practice . See you later . '
 ' All right , see you later . ']","'हे जॉन, अच्छे स्केट्स। क्या वे नए हैं?'

'तुम कौन सी पोजीशन खेलते हो?'

'हां, तुम एक काफी बड़े आदमी हो। मैं भी गोलकीपर खेलता हूँ।'

'रॉकेट्स।'

","'हां, मैंने इन्हें हाल ही में खरीदा है। मैं समुदाय लीग में आइस हॉकी खेलना शुरू किया है। तो, मैंने खुद को नए स्केट्स खरीद लिए।'

'मैं एक रक्षक हूँ। यह बहुत मज़ा आता है। रक्षा पर तेजी से स्केट करने की आवश्यकता नहीं होती।'

'ओह, हां? कौन सी टीम?'

'सच में? मुझे लगता है हम अगले हफ्ते तुम्हारे साथ खेलेंगे। ठीक है, मुझे प्रैक्टिस के लिए जाना है। बाद में मिलते हैं

","जॉन के अंतिम शब्द अभी भी शो चैनल में अपने बारे में

यह प्रश्न खेल के खिताबी खेल में पूछा जाता है। अब इसके

अचानक एक आवाज आई। बाहर के दरवाजे के बगल में खड़े एक

एक नए खिलौने के बारे में बताओ जो बच्चों के लिए विशे�

"
5,5,"['Hey Lydia , what are you reading ? '
 ' I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! '
 ' What are you talking about ? Let me see that ... What are horoscopes ? '
 ' It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? '
 ' January 5th . '
 ' Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! '
 "" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ""
 ' No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . '
 ' Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? '
 ' A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ']","'हे लिडिया, तुम क्या पढ़ रही हो?'

'तुम किस बारे में बात कर रही हो? मुझे दिखाओ... राशिफल क्या होते हैं?'

'5 जनवरी।'

","'मैं इस महीने के लिए अपना राशिफल देख रही हूँ! मेरा दृष्टिकोण बहुत सकारात्मक है। इसमें लिखा है कि मुझे किसी अनोखे स्थान पर छुट्टी लेनी चाहिए, और मुझे एक जोशीला समर रोमांस मिलेगा!'

'यह आपके ज्योतिष चिन्ह के आधार पर आपके महीने का पूर्वानुमान है। आपके जन्म के महीने और तारीख के आधार पर आपका अलग से चिन्ह होता है। मेरा जन्म 15 अप्रैल को हुआ था, इसलिए मैं एक मेष राशि हूँ। तुम कब जन्मे हो?'

'चलो देखते हैं... तुम

","राम ने पूछा। 'मैं अपनी माँ के अंग्रेजी की कहानियाँ बार

एक अनुभवी राशिफल चार्ट बनाने वाले ने अपने फैक्टर

एक शब्द ने अपना अस्तित्व खतम कर दिया। इस दिन देश के

"
6,6,"['Frank ’ s getting married , do you believe this ? ' ' Is he really ? '
 ' Yes , he is . He loves the girl very much . ' ' Who is he marring ? '
 ' A girl he met on holiday in Spain , I think . '
 ' Have they set a date for the wedding ? ' ' Not yet . ']","'फ्रैंक शादी कर रहा है, क्या तुम इस पर विश्वास करते हो?' 'क्या वास्तव में?' 'हां, वह कर रहा है। उसे लड़की से बहुत प्यार है।' 'वह किससे शादी कर रहा है?' 'मुझे लगता है कि वह एक लड़की से शादी कर रहा है जिससे उसने स्पेन में छुट्टियों में मिला था।' 'क्या उन्होंने शादी के लिए तारीख तय की है?' 'अभी तक नहीं।'

",nan,"'क्या वह अपने नए पति के बारे में बात करता है?' 'हां, उसक

"
7,7,"['I hear you bought a new house in the northern suburbs . '
 ' That ’ s right , we bought it the same day we came on the market . '
 ' What kind of house is it ? ' ' It ’ s a wonderful Spanish style . '
 ' Oh , I love the roof tiles on Spanish style houses . '
 ' And it ’ s a bargaining . A house like this in river side costs double the price . '
 ' Great , is it a two bedroom house ? '
 ' No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . '
 ' That ’ s a nice area too . It ’ ll be a good investment for you . '
 ' Yeas , when will you buy a house ? '
 ' Not untill the end of this year , you know , just before my wedding . '
 ' Right , congratulations . ' ' Thank you . ']","मैं सुना है कि आपने उत्तरी उपनगर में एक नया घर खरीदा है।

वह कैसे घर है?

ओह, मुझे स्पेनिश शैली के घरों पर छत की टाइल्स पसंद हैं।

बहुत अच्छा, क्या यह एक दो बेडरूम वाला घर है?

वह भी एक अच्छा क्षेत्र है।

","हाँ, सही है, हमने उसे उसी दिन खरीद लिया था जिस दिन वह बाजार में आया था।

यह एक शानदार स्पेनिश शैली का है।

और यह एक मानवाधिकार है। इस प्रकार का घर नदी किनारे में दोगुनी कीमत में होता है।

नहीं, इसमें तीन बेडरूम और तीन बिस्तर हैं, और एक बारह-फीट ऊंची रहने वाला एक रूम है। यहाँ एक दो कार गेराज है।

","उस घर के बारे में बताएं।
मैं एक कृत्रिम बुद्धि विशे�

जब आपके द्वारा अतिरिक्त अपने घर में एक नए विकल्प ज

वे बहुत खूबसूरत होते हैं और अपने घर के आंतरिक डिज

जो आपके लिए अच्छा लगे तो आप अपने बेडरूम के बारे मे�

और यहां तक कि अगर कोई निजी टैक्सी चलाता है तो भी आ

"
8,8,"[""Hi , Becky , what's up ? ""
 ' Not much , except that my mother-in-law is driving me up the wall . '
 "" What's the problem ? ""
 "" She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ""
 ' For example ? '
 "" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ""
 "" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ""
 "" It's not just that . She also criticizes how we raise the kids . ""
 "" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ""
 ' You said she used to ? How did you stop her ? '
 "" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ""
 "" That sounds like a good idea . I'll have to try that . ""]","""नमस्ते, बेकी, क्या हाल है?""

""मुद्दा क्या है?""

""उदाहरण के लिए?""

""नहीं, मुझे ऐसा होते हुए नहीं द

","""ज्यादा कुछ नहीं, बस मेरी सास मुझे पागल कर रही है।""

""उन्हें नित-पिकिंग करना पसंद है और वह हर चीज़ की आलोचना करती है जो मैं करती हूँ। जब वह होती है, तो मैं कुछ भी सही नहीं कर सकती।""

""वेल, पिछले हफ्ते मैंने उन्हें रात के खाने के लिए बुलाया। मेरे पति और मुझे खाने में कोई समस्या नहीं थी, लेकिन अगर आप उनकी बात सुनते तो ऐसा लगता कि मैंने उसे पुराना मांस और बिगड़ी हुई सब्जियाँ खिलाई है। उसे खुश करने के लिए कुछ भी नहीं है।""

","अपने दोस्त के साथ एक दिन बातचीत करते हुए बेकी ने अपने

के बारे में बात करते हैं, तो यह कहानी एक बहुत ही आकर्ष

क्या इसका अर्थ है? ""for example"" के लिए अंग्रेजी में क्या कहते है

ेखा गया था""
""मुझे नहीं लगता कि आपके पास ऐसी जानकारी ह�

"
9,9,"[""How are Zina's new programmers working out ? ""
 "" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ""
 "" So you'll make the Stars.com deadline , and have us up and running next week ? ""
 "" It'll be close , but we'll make it . ""
 "" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ""
 "" And if we don't need them , we won't need Zina , either . ""]","""ज़ीना के नए प्रोग्रामर्स कैसे काम कर रहे हैं?""

""तो क्या आप स्टार्स.कॉम की डेडलाइन पूरी करेंगे, और हमें अगले हफ्ते चलाने के लिए तैयार करेंगे?""

""अच्छा। स्टार्स.कॉम हमें भुगतान करने लगते हैं, तो हमें विकम की नकदी की आवश्यकता नहीं होगी।""

","""मुझे मानना पसंद नहीं है, लेकिन वे अच्छे हैं। और तेज़ी से काम करते हैं। फिलीपीनो बच्चा एक जीनियस है।""

""यह करीब होगा, लेकिन हम कर लेंगे।""

""और अगर हमें उनकी आवश्यकता नहीं होगी, तो हमें ज़ीना की भी आवश्यकता नहीं होगी।""

","अंग्रेजी में अनुवाद करें

""how are the new programmers at zina working?"" 

यह अंग्रेजी में अ

अगले हफ्ते की बात भी करेंगे अगले हफ्ते के बारे में बात क

अपने आपको अपने अपने विकम के लिए आर्थिक व्यवस्था करन

"
